id,method,effect
1,android.util.Base64#decode,Base64解码数据
2,android.util.Base64#encode,Base64编码数据
3,android.util.Base64#encodeToString,将数据Base64编码为字符串
4,android.app.Activity#startActivity,启动一个新的Activity
5,android.app.ActivityThread#handleReceiver,处理广播接收器的逻辑
6,android.app.ContextImpl#registerReceiver,注册广播接收器
7,java.lang.ProcessBuilder#start,启动一个新的进程执行命令
8,java.lang.Runtime#exec,执行指定的系统命令
9,javax.crypto.Cipher#doFinal,完成加密或解密操作
10,javax.crypto.spec.SecretKeySpec#$init,初始化对称密钥
11,java.security.MessageDigest#digest,生成消息摘要（哈希值）
12,java.security.MessageDigest#update,更新消息摘要内容
13,android.content.ContextWrapper#databaseList,列出所有数据库文件
14,android.content.ContextWrapper#deleteDatabase,删除指定数据库
15,android.content.ContextWrapper#openOrCreateDatabase,打开或创建数据库
16,android.database.sqlite.SQLiteDatabase#compileStatement,编译SQL语句为预编译对象
17,android.database.sqlite.SQLiteDatabase#create,创建数据库（已废弃）
18,android.database.sqlite.SQLiteDatabase#deleteDatabase,删除数据库文件
19,android.database.sqlite.SQLiteDatabase#execSQL,执行无返回值的SQL语句
20,android.database.sqlite.SQLiteDatabase#getPath,获取数据库文件路径
21,android.database.sqlite.SQLiteDatabase#insert,向表中插入数据
22,android.database.sqlite.SQLiteDatabase#insertOrThrow,插入数据（失败时抛出异常）
23,android.database.sqlite.SQLiteDatabase#insertWithOnConflict,带冲突策略的数据插入
24,android.database.sqlite.SQLiteDatabase#openDatabase,打开指定数据库
25,android.database.sqlite.SQLiteDatabase#openOrCreateDatabase,打开或创建数据库
26,android.database.sqlite.SQLiteDatabase#query,执行查询操作
27,android.database.sqlite.SQLiteDatabase#queryWithFactory,使用工厂模式执行查询
28,android.database.sqlite.SQLiteDatabase#rawQuery,执行原始SQL查询
29,android.database.sqlite.SQLiteDatabase#rawQueryWithFactory,使用工厂模式执行原始SQL查询
30,android.database.sqlite.SQLiteDatabase#update,更新表中数据
31,android.database.sqlite.SQLiteDatabase#updateWithOnConflict,带冲突策略的数据更新
32,android.accounts.AccountManager#getAccounts,获取设备上的所有账户
33,android.accounts.AccountManager#getAccountsByType,按类型获取账户列表
34,android.app.ApplicationPackageManager#getInstalledPackages,获取已安装的包信息
35,android.content.ContentResolver#delete,删除内容提供器的数据
36,android.content.ContentResolver#insert,向内容提供器插入数据
37,android.content.ContentResolver#query,查询内容提供器的数据
38,android.content.ContentResolver#registerContentObserver,注册内容观察者
39,android.location.Location#getLatitude,获取位置的纬度
40,android.location.Location#getLongitude,获取位置的经度
41,android.media.AudioRecord#startRecording,开始录制音频
42,android.media.MediaRecorder#start,开始录制音视频
43,android.os.SystemProperties#get,读取系统属性值
44,android.content.pm.PackageManager#getInstalledApplications,获取已安装应用列表
45,android.content.pm.PackageManager#getInstalledModules,获取已安装模块（API 25不支持）
