id,class,method,name,description
1,android.util.Base64,decode,Base64,
2,android.util.Base64,encode,Base64,
3,android.util.Base64,encodeToString,Base64,
4,android.app.Activity,startActivity,Binder,
5,android.app.ActivityThread,handleReceiver,Binder,
6,android.app.ContextImpl,registerReceiver,Binder,
7,java.lang.ProcessBuilder,start,Command,
8,java.lang.Runtime,exec,Command,
9,javax.crypto.Cipher,doFinal,Crypto,
10,javax.crypto.spec.SecretKeySpec,$init,Crypto,
11,java.security.MessageDigest,digest,Crypto - Hash,
12,java.security.MessageDigest,update,Crypto - Hash,
13,android.content.ContextWrapper,databaseList,Database,
14,android.content.ContextWrapper,deleteDatabase,Database,
15,android.content.ContextWrapper,openOrCreateDatabase,Database,
16,android.database.sqlite.SQLiteDatabase,compileStatement,Database,
17,android.database.sqlite.SQLiteDatabase,create,Database,
18,android.database.sqlite.SQLiteDatabase,deleteDatabase,Database,
19,android.database.sqlite.SQLiteDatabase,execSQL,Database,
20,android.database.sqlite.SQLiteDatabase,getPath,Database,
21,android.database.sqlite.SQLiteDatabase,insert,Database,
22,android.database.sqlite.SQLiteDatabase,insertOrThrow,Database,
23,android.database.sqlite.SQLiteDatabase,insertWithOnConflict,Database,
24,android.database.sqlite.SQLiteDatabase,openDatabase,Database,
25,android.database.sqlite.SQLiteDatabase,openOrCreateDatabase,Database,
26,android.database.sqlite.SQLiteDatabase,query,Database,
27,android.database.sqlite.SQLiteDatabase,queryWithFactory,Database,
28,android.database.sqlite.SQLiteDatabase,rawQuery,Database,
29,android.database.sqlite.SQLiteDatabase,rawQueryWithFactory,Database,
30,android.database.sqlite.SQLiteDatabase,update,Database,
31,android.database.sqlite.SQLiteDatabase,updateWithOnConflict,Database,
32,android.accounts.AccountManager,getAccounts,Device Data,
33,android.accounts.AccountManager,getAccountsByType,Device Data,
34,android.app.ApplicationPackageManager,getInstalledPackages,Device Data,
35,android.content.ContentResolver,delete,Device Data,
36,android.content.ContentResolver,insert,Device Data,
37,android.content.ContentResolver,query,Device Data,
38,android.content.ContentResolver,registerContentObserver,Device Data,
39,android.location.Location,getLatitude,Device Data,
40,android.location.Location,getLongitude,Device Data,
41,android.media.AudioRecord,startRecording,Device Data,
42,android.media.MediaRecorder,start,Device Data,
43,android.os.SystemProperties,get,Device Data,
44,android.content.pm.PackageManager,getInstalledApplications,Device Info,
45,android.content.pm.PackageManager,getInstalledModules,Device Info,Not Found in API 25
46,android.content.pm.PackageManager,getInstalledPackages,Device Info,
47,android.content.pm.PackageManager,getInstallerPackageName,Device Info,
48,android.net.wifi.WifiInfo,getBSSID,Device Info,
49,android.net.wifi.WifiInfo,getIpAddress,Device Info,
50,android.net.wifi.WifiInfo,getMacAddress,Device Info,
51,android.net.wifi.WifiInfo,getNetworkId,Device Info,
52,android.os.Debug,isDebuggerConnected,Device Info,
53,android.telephony.TelephonyManager,getDeviceId,Device Info,
54,android.telephony.TelephonyManager,getDeviceSoftwareVersion,Device Info,
55,android.telephony.TelephonyManager,getLine1Number,Device Info,
56,android.telephony.TelephonyManager,getNetworkCountryIso,Device Info,
57,android.telephony.TelephonyManager,getNetworkOperator,Device Info,
58,android.telephony.TelephonyManager,getNetworkOperatorName,Device Info,
59,android.telephony.TelephonyManager,getSimCountryIso,Device Info,
60,android.telephony.TelephonyManager,getSimOperatorName,Device Info,
61,android.telephony.TelephonyManager,getSimSerialNumber,Device Info,
62,android.telephony.TelephonyManager,getSubscriberId,Device Info,
63,dalvik.system.BaseDexClassLoader,findLibrary,Dex Class Loader,
64,dalvik.system.BaseDexClassLoader,findResource,Dex Class Loader,
65,dalvik.system.BaseDexClassLoader,findResources,Dex Class Loader,
66,dalvik.system.DexClassLoader,$init,Dex Class Loader,
67,dalvik.system.DexFile,loadClass,Dex Class Loader,
68,dalvik.system.DexFile,loadDex,Dex Class Loader,
69,android.content.ContextWrapper,deleteFile,File IO,
70,android.content.ContextWrapper,openFileInput,File IO,
71,android.content.ContextWrapper,openFileOutput,File IO,
72,libcore.io.IoBridge,open,File IO,
73,android.content.ContextWrapper,registerReceiver,IPC,
74,android.content.ContextWrapper,sendBroadcast,IPC,
75,android.content.ContextWrapper,sendStickyBroadcast,IPC,
76,android.content.ContextWrapper,startActivity,IPC,
77,android.content.ContextWrapper,startService,IPC,
78,android.content.ContextWrapper,stopService,IPC,
79,java.lang.Runtime,load,Java Native Interface,
80,java.lang.Runtime,loadLibrary,Java Native Interface,
81,com.android.okhttp.internal.http.HttpURLConnectionImpl,getInputStream,Network,Not Found in API 25
82,com.android.okhttp.internal.huc.HttpURLConnectionImpl,getInputStream,Network,
83,java.net.URL,openConnection,Network,
84,org.apache.http.impl.client.AbstractHttpClient,execute,Network,
85,android.app.ActivityManager,killBackgroundProcesses,Process,
86,android.os.Process,killProcess,Process,
87,android.os.Process,start,Process,
88,android.telephony.SmsManager,sendMultipartTextMessage,SMS,
89,android.telephony.SmsManager,sendTextMessage,SMS,
90,android.app.ApplicationPackageManager,setComponentEnabledSetting,System Manager,
91,android.app.NotificationManager,notify,System Manager,
92,android.content.BroadcastReceiver,abortBroadcast,System Manager,
93,android.telephony.TelephonyManager,listen,System Manager,
94,android.webkit.WebView,addJavascriptInterface,WebView,
95,android.webkit.WebView,evaluateJavascript,WebView,
96,android.webkit.WebView,getHttpAuthUsernamePassword,WebView,
97,android.webkit.WebView,loadData,WebView,
98,android.webkit.WebView,loadDataWithBaseURL,WebView,
99,android.webkit.WebView,loadUrl,WebView,
100,android.webkit.WebView,postUrl,WebView,
101,android.webkit.WebView,postWebMessage,WebView,
102,android.webkit.WebView,savePassword,WebView,
103,android.webkit.WebView,setHttpAuthUsernamePassword,WebView,
104,android.webkit.WebView,setWebContentsDebuggingEnabled,WebView,
105,android.provider.ContactsContract,set,APIChecker-Restricted API,Not Found in API 25
106,android.provider.Browser,updateVisitedHistory,APIChecker-Restricted API,
107,android.location.LocationManager,sendExtraCommand,APIChecker-Restricted API,
108,android.provider.Browser,addSearchUrl,APIChecker-Restricted API,
109,android.location.LocationManager,requestLocationUpdates,APIChecker-Restricted API,
110,android.net.sip.SipManager,createSipSession,APIChecker-Restricted API,
111,android.location.LocationManager,addNmeaListener,APIChecker-Restricted API,
112,android.telephony.SmsManager,divideMessage,APIChecker-Restricted API,
113,android.net.sip.SipManager,register,APIChecker-Restricted API,
114,android.location.LocationManager,getProvider,APIChecker-Restricted API,
115,android.telephony.TelephonyManager,getCellLocation,APIChecker-Restricted API,
116,android.provider.ContactsContract,getContactLookupUri,APIChecker-Restricted API,Not Found in API 25
117,android.telephony.TelephonyManager,getDeviceSoftwareVersion,APIChecker-Restricted API,
118,android.app.DownloadManager,getUriForDownloadedFile,APIChecker-Restricted API,
119,android.provider.Browser,deleteHistoryTimeFrame,APIChecker-Restricted API,
120,android.telephony.PhoneNumberUtils,isVoiceMailNumber,APIChecker-Restricted API,
121,android.speech.SpeechRecognizer,cancel,APIChecker-Restricted API,
122,android.provider.ContactsContract,markAsContacted,APIChecker-Restricted API,Not Found in API 25
123,android.telephony.TelephonyManager,getSubscriberId,APIChecker-Restricted API,
124,android.telephony.gsm.SmsManager,sendTextMessage,APIChecker-Restricted API,
125,android.telephony.TelephonyManager,getGroupIdLevel1,APIChecker-Restricted API,
126,android.provider.ContactsContract,notifyDirectoryChange,APIChecker-Restricted API,Not Found in API 25
127,android.provider.Contacts,setSetting,APIChecker-Restricted API,Not Found in API 25
128,android.accounts.AccountManager,editProperties,APIChecker-Restricted API,
129,android.widget.QuickContactBadge,assignContactFromEmail,APIChecker-Restricted API,
130,android.net.sip.SipManager,open,APIChecker-Restricted API,
131,android.accounts.AccountManager,addAccount,APIChecker-Restricted API,
132,android.provider.Contacts,markAsContacted,APIChecker-Restricted API,Not Found in API 25
133,android.provider.Browser,deleteFromHistory,APIChecker-Restricted API,
134,android.accounts.AccountManager,blockingGetAuthToken,APIChecker-Restricted API,
135,android.app.DownloadManager,enqueue,APIChecker-Restricted API,
136,android.net.ConnectivityManager,startUsingNetworkFeature,APIChecker-Restricted API,
137,android.telephony.SubscriptionManager,addOnSubscriptionsChangedListener,APIChecker-Restricted API,
138,android.location.LocationManager,getBestProvider,APIChecker-Restricted API,
139,android.accounts.AccountManager,hasFeatures,APIChecker-Restricted API,
140,android.accounts.AccountManager,getAccounts,APIChecker-Restricted API,
141,android.telephony.SmsManager,sendMultipartTextMessage,APIChecker-Restricted API,
142,android.accounts.AccountManager,getAuthToken,APIChecker-Restricted API,
143,android.provider.Browser,truncateHistory,APIChecker-Restricted API,
144,android.net.sip.SipManager,close,APIChecker-Restricted API,
145,android.net.sip.SipManager,unregister,APIChecker-Restricted API,
146,android.app.KeyguardManager,exitKeyguardSecurely,APIChecker-Restricted API,
147,android.accounts.AccountManager,getAuthTokenLabel,APIChecker-Restricted API,
148,android.location.LocationManager,addGpsStatusListener,APIChecker-Restricted API,
149,android.media.MediaRecorder,setVideoSource,APIChecker-Restricted API,
